ID,Model,Brand,Capacity,Condition,Location,Price,Delivery Time,URL
282461741459,None,Vitrifrigo,None,Brand New,Carlino (UD)^ Italy,1109.71,Thu. 23 May.  and Mon. 3 Jun.,https://www.ebay.com.au/itm/Vitrifrigo-C47-Refrigerator-Drawer-47lt-12-24V-with-Airlock-System-16004802/282461741459?epid=842337244&hash=item41c4082193:g:KjcAAOSwhcNaYN7C
252091057173,WSE6100SA*1,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $110.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-WSE6100SA-1-Fridge-Freezer-Combo-Seal-Refrigerator-Door-Gasket/252091057173?epid=1944073348&hash=item3ab1cc4415:g:DisAAOSwd0ha~OtC
262858429519,None,None,None,Brand New,Bankstown^ NSW ^ Australia,220.0,Wed. 1 May. and Wed. 8 May.,https://www.ebay.com.au/itm/VACCUM-PUMP-VALUE-V-I215S-M-2-STAGE-1-5CFM-1-5HP-4KG-AIR-CONDITIONER-FRIDGE/262858429519?epid=10024429877&hash=item3d3395544f:g:c-kAAOSwTuJYp6CJ
253514337712,None,Fisher & Paykel,None,Brand New,Bibra Lake^ WA^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Fisher-Paykel-E450-Fridge-Seal-1610X615-Push-In/253514337712?epid=1040380622&hash=item3b06a1cdb0:g:-~EAAOSw3bBcaN0U
254148401186,TME1000H,Skope,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Skope-TME1000H-Fridge-Seals-Door-Gasket-Gasket/254148401186?hash=item3b2c6cd822:g:KzMAAOSwHHtZkTN3
282461741100,None,Vitrifrigo,None,Brand New,Carlino (UD)^ Italy,1423.07,Thu. 23 May.  and Mon. 3 Jun.,https://www.ebay.com.au/itm/Vitrifrigo-C220DP-Built-in-white-Refrigerator-220lt-and-Freezer-42lt-12-24V-160/282461741100?epid=841983271&hash=item41c408202c:g:74oAAOSw4HNaYN62
263735710126,C520 H-R*8-,Kelvinator,None,Brand New,Bibra Lake^ WA^ Australia,U $76.50,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Kelvinator-C520-H-R-8-Fridge-Freezer-Combo-Door-Seal/263735710126?epid=2295367364&hash=item3d67df91ae:g:6HMAAOSwu05bS5GY
253112293507,TME1000-C,Skope,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Skope-TME1000-C-1595X530-Fridge-Seal-Gasket/253112293507?epid=5029107814&hash=item3aeeab1883:g:8GEAAOSwtjxZkS1h
152922188096,AMEX Mishell AME-0108CR,AMEX Mishell AME-0108CR,None,Brand New,Goyang-si^ Korea^ South,491.89,Fri. 3 May. and Fri. 10 May. ,https://www.ebay.com.au/itm/New-AMEX-Mishell-AME-0108CR-Cosmetics-Cooler-Mini-9L-Fridge-Compact-Refrigerator/152922188096?hash=item239adf6940:g:9jsAAOSwAa5akvVg
253292128023,None,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-RP423-1530X655-Refrigerator-Door-Gasket-Seal/253292128023?epid=1322464343&hash=item3af9632717:g:EOYAAOSwkE9bUHm9
262048227786,WSE6100PA,Westinghouse,None,Brand New,Bibra Lake^Wa^ Australia,U $59.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Westinghouse-Fridge-Seal-WSE6100PA-1622X458-Refrigerator-Door-Gasket-Seal/262048227786?epid=10026201719&hash=item3d034aa1ca:g:i~EAAOSwYLZbcSoF
282461741112,None,Vitrifrigo,None,Brand New,Carlino (UD)^ Italy,1934.8,Thu. 23 May.  and Mon. 3 Jun.,https://www.ebay.com.au/itm/Vitrifrigo-Trivalent-refrigerator-gas-for-campers-120lt-Freezer-25-2lt-12V-230V/282461741112?epid=842336654&hash=item41c4082038:g:oVYAAOSws0JaYOBG
191769615908,None,Unbranded,35L,Brand New,Alexandria^ New South Wales^ Australia,None,Fri. 10 May.  and Thu. 23 May. ,https://www.ebay.com.au/itm/Mobicool-35L-Car-Home-Fridge-Themoelectronic-Portable-Cooler-Heater-12V-220V/191769615908?hash=item2ca65c1e24:m:mwLlX492iXPL_UnlrWkatIA&var=490793688339
252711872493,P170F-R,Kelvinator,None,Brand New,Bibra Lake^Wa^ Australia,U $60.00,Tue. 7 May. and Mon. 20 May. ,https://www.ebay.com.au/itm/Kelvinator-Fridge-Seal-P170F-R-475X950-Refrigerator-Door-Gasket-Seal/252711872493?epid=3024248256&hash=item3ad6cd27ed:g:xpAAAOSw1vlUrJ8Y
172876753496,6WSC20C6YB,Whirlpool,None,Brand New,Western Australia^ Australia,U $254.60,Thu. 2 May. and Mon. 13 May. ,https://www.ebay.com.au/itm/GENUINE-ICE-MAKER-WHIRLPOOL-REFRIGERATOR-6WSC20C6YB-AU-FREE-SAME-DAY-SHIPPING/172876753496?epid=205989872&hash=item284041ea58:g:WKoAAOSwYbhZw5jZ
202627467700,St Kilda,AFL,40 L,Brand New,Brisbane^ Queensland^ Australia,499.0,None,https://www.ebay.com.au/itm/St-Kilda-Saints-AFL-40L-Bar-Fridge-RRP-699-00/202627467700?hash=item2f2d89c9b4%3Ag%3AFnEAAOSwz4xcjhUX&boolp=1
202627467700,St Kilda,AFL,40 L,Brand New,Brisbane^ Queensland^ Australia,499.0,None,https://www.ebay.com.au/itm/St-Kilda-Saints-AFL-40L-Bar-Fridge-RRP-699-00/202627467700?hash=item2f2d89c9b4:g:FnEAAOSwz4xcjhUX
133031962870,None,Samsung,None,Used,Doreen^ VIC^ Australia,None,None,https://www.ebay.com.au/itm/Samsung-Bar-Fridge/133031962870?hash=item1ef952a8f6%3Ag%3AKSkAAOSwW75cwEVw&boolp=1
293055683043,None,Haier,None,Used,BUDERIM^ Australia,None,None,https://www.ebay.com.au/itm/HAIER-55L-Free-Standing-Mini-Bar-Fridge-Small-Refrigerator-Office-Unit-Caravan/293055683043?hash=item443b7ad9e3%3Ag%3AyckAAOSw%7EcFcuTEa&boolp=1
293055683043,None,Haier,None,Used,BUDERIM^ Australia,None,None,https://www.ebay.com.au/itm/HAIER-55L-Free-Standing-Mini-Bar-Fridge-Small-Refrigerator-Office-Unit-Caravan/293055683043?hash=item443b7ad9e3:g:yckAAOSw~cFcuTEa
323779394744,None,Igloo,28L,Used,Hurstville^ NSW^ Australia,None,None,https://www.ebay.com.au/itm/igloo-cooler-28-litre-blue-color/323779394744?hash=item4b62c17cb8%3Ag%3ADDAAAOSwv-Jcou2N&boolp=1
